Product name,Product price,image
33 Piece Vehicle Radiator Pressure Tester Refilling Kit,"KSh 25,000",https://pictures-kenya.jijistatic.com/53033387_MTgwLTE4MC0zZjA1YjdhZGMx.jpg
245/70r16 Petromax All-Terrain,"KSh 11,200",https://pictures-kenya.jijistatic.com/52897827_MTgwLTI0MC1hYzFjYTY0ZGE1.jpg
1kd Old Complete Engine,"KSh 460,000",https://pictures-kenya.jijistatic.com/53307199_MTgwLTI0MC03YjcwZjE0YmNi.jpg
Kenwood 5020bt Car Radio,"KSh 32,000",https://pictures-kenya.jijistatic.com/52671055_MTgwLTgxLTc0Y2I5OGFlNjM.jpg
Apple iPhone SE (2022) 64 GB Red,"KSh 25,000",https://pictures-kenya.jijistatic.com/53440357_MTgwLTI0MC0zNTNmMzI4MWJm.jpg
New Samsung Galaxy A14 128 GB Blue,"KSh 6,300",https://pictures-kenya.jijistatic.com/53442105_MTgwLTI0MC0zYjJiMGYxOTQzLTE.jpg
Oppo Reno5 F 128 GB Silver,"KSh 15,000",https://pictures-kenya.jijistatic.com/53427809_MTgwLTI0MC01ZDY0YmMzZTNh.jpg
Xiaomi Redmi Note 12 128 GB Blue,"KSh 13,000",https://pictures-kenya.jijistatic.com/53389518_MTgwLTI0MC1iNDk3MmY5MDQx.jpg
Samsung Galaxy S7 edge 32 GB Gold,"KSh 5,500",https://pictures-kenya.jijistatic.com/53339267_MTgwLTI0MC1lMmQ2MzFmZTY5.jpg
New Apple iPhone 13 Mini 128 GB Blue,"KSh 100,000",https://pictures-kenya.jijistatic.com/53372829_MTgwLTEwOS00MDY4NmRlMWI1.jpg
Samsung Galaxy A23 64 GB Gray,"KSh 15,000",https://pictures-kenya.jijistatic.com/50916583_MTgwLTI0MC1jNTA0ZjVhNDA3.jpg
Apple iPhone 8 64 GB Black,"KSh 12,500",https://pictures-kenya.jijistatic.com/53338531_MTgwLTI0MC02MzAzN2EwZjUw.jpg
Xiaomi Redmi Note 10 128 GB Green,"KSh 16,500",https://pictures-kenya.jijistatic.com/53423224_MTgwLTI0MC03ZmY3N2M2OTdk.jpg
Google Pixel 6 Pro 128 GB White,"KSh 50,000",https://pictures-kenya.jijistatic.com/52722498_MTgwLTI0MC1lYmY5ODFiMWY5.jpg
Samsung Galaxy A52 128 GB Black,"KSh 22,000",https://pictures-kenya.jijistatic.com/53334560_MTgwLTI0MC0wZTYxZmMwZDJi.jpg
Samsung Galaxy A71 128 GB Black,"KSh 20,000",https://pictures-kenya.jijistatic.com/53253887_MTgwLTI0MC0yMTk4ZTJkZjYy.jpg
New Samsung Galaxy A03 Core 32 GB Blue,"KSh 3,000",https://pictures-kenya.jijistatic.com/50530157_MTgwLTI0MC1hY2IwZjVmYmMw.jpg
Realme 10 5G 128 GB,"KSh 15,500",https://pictures-kenya.jijistatic.com/53291910_MTgwLTI0MC03OTQ0NzQ3MTFh.jpg
Realme C21Y 64 GB Blue,"KSh 8,000",https://pictures-kenya.jijistatic.com/53004951_MTgwLTI3MC02YmI2Y2E2YmE1.jpg
New Oppo A77s 128 GB Gold,"KSh 21,000",https://pictures-kenya.jijistatic.com/52961112_MTgwLTI0MC02M2FkNGY5YzFl.jpg
